record.timestamp[s],record.position_lat[semicircles],record.position_long[semicircles],record.distance[m],record.heart_rate[bpm],record.altitude[m],record.speed[m/s],record.power[watts],record.cadence[rpm],record.enhanced_altitude[m],record.enhanced_speed[m/s],
"1071838398","-138882704","1992136064","2114.9","130","13.200000000000045","9.103","149","80","13.200000000000045","9.103",
"1071838399","-138883072","1992136960","2123.9","130","13.200000000000045","9.095","147","78","13.200000000000045","9.095",
"1071838400","-138883376","1992137856","2132.99","132","13.200000000000045","9.103","142","78","13.200000000000045","9.103",
"1071838401","-138883600","1992138752","2142.12","132","13.200000000000045","9.121","142","76","13.200000000000045","9.121",
"1071838402","-138883776","1992139904","2151.36","132","13.200000000000045","9.141","132","76","13.200000000000045","9.141",
"1071838403","-138883872","1992140800","2160.47","133","13.200000000000045","9.161","135","75","13.200000000000045","9.161",
"1071838404","-138883920","1992141952","2169.61","132","13.200000000000045","9.206","153","75","13.200000000000045","9.206",
"1071838405","-138883904","1992142848","2178.88","131","13.200000000000045","9.252","153","75","13.200000000000045","9.252",
"1071838406","-138883840","1992143872","2188.11","133","13.200000000000045","9.299","157","79","13.200000000000045","9.299",
"1071838407","-138883712","1992144768","2197.54","133","13.200000000000045","9.434","149","80","13.200000000000045","9.434",
"1071838408","-138883520","1992145920","2206.93","134","13.200000000000045","9.436","147","80","13.200000000000045","9.436",
"1071838409","-138883280","1992146816","2216.3","134","13.200000000000045","9.433","154","79","13.200000000000045","9.433",
"1071838410","-138883024","1992147840","2225.85","133","13.200000000000045","9.441","151","79","13.200000000000045","9.441",
"1071838411","-138882720","1992148864","2235.23","133","13.200000000000045","9.449","151","79","13.200000000000045","9.449",
"1071838412","-138882400","1992149888","2244.74","133","13.200000000000045","9.456","151","79","13.200000000000045","9.456",
"1071838413","-138882032","1992150784","2254.21","134","13.200000000000045","9.464","149","79","13.200000000000045","9.464",
"1071838414","-138881664","1992151680","2263.66","134","13.200000000000045","9.466","131","80","13.200000000000045","9.466",
"1071838415","-138881280","1992152576","2273.09","134","13.200000000000045","9.472","131","80","13.200000000000045","9.472",
"1071838416","-138880864","1992153728","2282.54","133","13.200000000000045","9.486","147","77","13.200000000000045","9.486",
"1071838417","-138880448","1992154624","2292.07","132","13.200000000000045","9.531","148","77","13.200000000000045","9.531",
"1071838418","-138879984","1992155520","2301.74","134","13.200000000000045","9.605","149","76","13.200000000000045","9.605",
"1071838419","-138879520","1992156416","2311.24","135","13.399999999999977","9.57","142","76","13.399999999999977","9.57",
"1071838420","-138879040","1992157312","2320.77","135","13.399999999999977","9.529","147","77","13.399999999999977","9.529",
"1071838421","-138878544","1992158336","2330.35","136","13.399999999999977","9.507","167","77","13.399999999999977","9.507",
"1071838422","-138878064","1992159232","2339.79","136","13.399999999999977","9.487","157","79","13.399999999999977","9.487",
"1071838423","-138877552","1992160128","2349.24","137","13.399999999999977","9.462","156","79","13.399999999999977","9.462",
"1071838424","-138877008","1992161024","2358.72","137","13.399999999999977","9.437","156","82","13.399999999999977","9.437",
"1071838425","-138876448","1992161792","2368.11","137","13.399999999999977","9.412","157","82","13.399999999999977","9.412",
"1071838426","-138875824","1992162688","2377.53","136","13.600000000000023","9.382","153","82","13.600000000000023","9.382",
"1071838427","-138875184","1992163328","2386.98","134","13.600000000000023","9.343","153","82","13.600000000000023","9.343",
"1071838428","-138874512","1992164096","2396.28","134","13.600000000000023","9.343","189","82","13.600000000000023","9.343",
